1044
0	0 0
7743	1 10	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,6 4,6 5,6
7804	1 9	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,6 4,5
7805	1 10	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,6 4,5 5,6
7807	1 11	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,6 4,5 4,6 5,6
7860	1 8	0,5 0,6 1,5 1,6 2,4 3,4 3,5 3,6
7861	1 9	0,5 0,6 1,5 1,6 2,4 3,4 3,5 3,6 5,6
7862	1 9	0,5 0,6 1,5 1,6 2,4 3,4 3,5 3,6 4,6
7863	1 10	0,5 0,6 1,5 1,6 2,4 3,4 3,5 3,6 4,6 5,6
7864	1 8	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5
7865	1 9	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 5,6
7866	1 9	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,6
7867	1 10	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,6 5,6
7868	1 9	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6
7869	1 10	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 5,6
7870	1 10	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,6
7871	1 11	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,6 5,6
7926	1 10	0,5 0,6 1,5 1,6 2,4 3,4 3,5 3,6 4,5 4,6
7927	1 11	0,5 0,6 1,5 1,6 2,4 3,4 3,5 3,6 4,5 4,6 5,6
7930	1 10	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,5 4,6
7931	1 11	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,5 4,6 5,6
7932	1 10	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5
7933	1 11	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5 5,6
7934	1 11	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5 4,6
7935	1 12	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5 4,6 5,6
8124	1 10	0,5 0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6
8125	1 11	0,5 0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 5,6
8126	1 11	0,5 0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6
8127	1 12	0,5 0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
8190	1 12	0,5 0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6
8191	1 13	0,5 0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
15260	0 9	1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6
15261	0 10	1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 5,6
15263	0 11	1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
15276	1 9	0,6 1,4 1,5 2,4 2,5 2,6 3,4 3,5 3,6
15277	1 10	0,6 1,4 1,5 2,4 2,5 2,6 3,4 3,5 3,6 5,6
15279	1 11	0,6 1,4 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
15292	1 10	0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6
15293	1 11	0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 5,6
15295	1 12	0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
15327	0 12	1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
15340	1 10	0,6 1,4 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,5
15341	1 11	0,6 1,4 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,5 5,6
15343	1 12	0,6 1,4 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
15356	1 11	0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5
15357	1 12	0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 5,6
15359	1 13	0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
15796	1 9	0,5 0,6 1,4 1,6 2,4 2,5 3,4 3,5 3,6
15797	1 10	0,5 0,6 1,4 1,6 2,4 2,5 3,4 3,5 3,6 5,6
15799	1 11	0,5 0,6 1,4 1,6 2,4 2,5 3,4 3,5 3,6 4,6 5,6
15804	1 10	0,5 0,6 1,4 1,6 2,4 2,5 2,6 3,4 3,5 3,6
15805	1 11	0,5 0,6 1,4 1,6 2,4 2,5 2,6 3,4 3,5 3,6 5,6
15807	1 12	0,5 0,6 1,4 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
15863	1 12	0,5 0,6 1,4 1,6 2,4 2,5 3,4 3,5 3,6 4,5 4,6 5,6
15868	1 11	0,5 0,6 1,4 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5
15869	1 12	0,5 0,6 1,4 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 5,6
15871	1 13	0,5 0,6 1,4 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
16316	1 11	0,5 0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6
16317	1 12	0,5 0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 5,6
16318	1 12	0,5 0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6
16319	1 13	0,5 0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
16382	1 13	0,5 0,6 1,4 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6
